date,close,volume,open,high,low
2025-04-29,34.55,2440200,34.6,34.75,34.35
2025-04-28,34.55,3320200,35.3,35.3,34.4
2025-04-25,35.0,2684500,35.3,35.4,35.0
2025-04-24,35.45,2028700,35.35,35.45,34.9
2025-04-23,35.35,1849600,35.75,35.75,35.0
2025-04-22,35.1,3599300,35.15,35.2,32.8
2025-04-21,35.25,2105600,35.95,36.0,35.1
2025-04-18,35.95,3477600,36.2,36.25,35.85
2025-04-17,35.85,3126800,35.2,35.85,34.95
2025-04-16,36.0,2914600,36.1,36.4,35.7
2025-04-15,36.5,2999100,36.6,36.75,36.0
2025-04-14,37.0,3547400,37.0,37.0,36.0
2025-04-11,36.75,6947500,36.9,36.9,35.55
2025-04-10,34.7,635800,34.7,34.7,34.7
2025-04-09,32.45,6519100,31.2,34.5,31.2
2025-04-08,33.5,4706500,35.0,35.5,33.5
2025-04-04,36.0,6883200,33.55,36.0,33.55
2025-04-03,36.0,7520100,37.0,37.9,36.0
2025-04-02,38.7,3026000,39.25,39.25,38.7
2025-04-01,39.0,1367000,38.9,39.0,38.7
2025-03-31,38.75,2899600,39.0,39.0,38.5
2025-03-28,39.1,1401500,39.15,39.25,39.05
2025-03-27,39.1,1862400,39.65,39.65,39.1
2025-03-26,39.55,2603800,39.6,39.85,39.4
2025-03-25,39.7,2936500,39.2,39.7,39.2
2025-03-24,39.1,3733500,39.45,39.5,39.0
2025-03-21,39.45,2407600,39.6,39.8,39.45
2025-03-20,39.8,2255800,39.55,39.9,39.55
2025-03-19,39.8,3182000,40.2,40.2,39.55
2025-03-18,40.0,3419200,40.5,40.6,40.0
2025-03-17,40.35,3319900,40.4,40.55,40.15
2025-03-14,40.4,2298100,40.2,40.4,40.05
2025-03-13,40.2,3981300,40.9,40.9,40.1
2025-03-12,40.9,3968100,41.35,41.4,40.85
2025-03-11,41.4,3352200,40.95,41.4,40.75
2025-03-10,41.4,4881700,41.3,42.0,41.2
2025-03-07,41.15,4622400,40.8,41.15,40.7
2025-03-06,40.8,2390500,40.65,40.9,40.55
2025-03-05,40.65,2829800,40.7,41.15,40.45
2025-03-04,40.8,3340100,40.8,40.9,40.4
2025-03-03,40.95,1966100,40.95,41.2,40.85
2025-02-28,40.95,3051600,40.95,40.95,40.7
2025-02-27,40.95,2552300,41.2,41.3,40.9
2025-02-26,41.2,3020100,41.2,41.25,40.95
2025-02-25,41.25,4348800,41.15,41.35,41.0
2025-02-24,41.1,4168600,40.9,41.4,40.7
2025-02-21,40.9,2988800,40.85,41.05,40.65
2025-02-20,40.9,3398400,41.0,41.05,40.65
2025-02-19,40.85,5452400,40.5,40.9,40.4
2025-02-18,40.5,3320100,40.1,40.65,40.05
2025-02-17,40.2,2273100,40.65,40.65,40.15
2025-02-14,40.65,4557800,40.35,40.85,40.15
2025-02-13,40.0,2430100,40.0,40.25,39.9
2025-02-12,40.0,4336000,40.35,40.45,39.9
2025-02-11,40.45,2873800,40.5,40.75,40.1
