date,close,volume,open,high,low
2025-04-29,109.4,2945500,109.6,110.5,109.1
2025-04-28,109.5,3853700,112.0,112.4,109.2
2025-04-25,112.4,5384100,112.0,112.4,110.2
2025-04-24,112.0,7740100,111.5,113.7,110.6
2025-04-23,110.4,5710800,111.7,111.7,107.7
2025-04-22,110.4,9127300,111.0,111.2,104.0
2025-04-21,111.7,4332300,112.0,112.5,110.0
2025-04-18,111.6,7485500,110.5,115.0,110.5
2025-04-17,109.4,8580100,105.0,111.3,104.9
2025-04-16,107.9,18032200,114.5,115.9,107.9
2025-04-15,116.0,7762400,116.1,117.0,113.7
2025-04-14,118.5,9217400,120.0,120.0,114.0
2025-04-11,118.5,19224000,117.0,118.5,114.3
2025-04-10,112.6,1005400,112.6,112.6,112.6
2025-04-09,105.3,16893300,97.8,108.0,97.8
2025-04-08,105.1,16276400,106.0,108.0,105.1
2025-04-04,113.0,21574500,105.6,113.9,105.6
2025-04-03,113.5,11484900,114.7,117.6,113.5
2025-04-02,122.0,3920200,121.2,122.3,120.8
2025-04-01,120.5,7824300,122.0,122.2,118.8
2025-03-31,121.0,5406300,123.4,123.4,121.0
2025-03-28,124.0,2944800,126.1,126.4,124.0
2025-03-27,126.2,6464400,122.0,126.5,121.1
2025-03-26,123.0,9734600,126.5,126.5,122.7
2025-03-25,126.5,5629200,129.8,129.9,126.5
2025-03-24,129.0,5090200,128.5,129.3,127.3
2025-03-21,128.0,6424800,125.0,129.0,125.0
2025-03-20,125.0,8203400,124.6,126.8,124.5
2025-03-19,124.6,18128400,130.1,130.6,123.5
2025-03-18,130.0,5508500,130.1,132.2,130.0
2025-03-17,130.0,6707000,131.6,132.1,129.6
2025-03-14,131.4,16094000,135.6,136.3,130.8
2025-03-13,136.5,3610200,136.1,138.0,136.1
2025-03-12,135.9,6185000,137.7,138.7,135.9
2025-03-11,137.5,5784400,138.0,138.5,137.0
2025-03-10,139.3,5323000,141.5,141.5,139.2
2025-03-07,141.4,2954500,141.7,142.7,141.1
2025-03-06,141.6,6417100,139.5,143.5,139.5
2025-03-05,139.1,2851100,140.0,140.1,139.1
2025-03-04,140.0,3471300,139.5,140.6,139.3
2025-03-03,140.5,2533900,140.5,141.4,140.3
2025-02-28,140.3,4694400,140.1,141.1,139.0
2025-02-27,141.3,3421700,142.0,142.2,140.7
2025-02-26,141.8,3323400,139.1,141.8,138.9
2025-02-25,139.0,6810400,140.4,140.4,138.2
2025-02-24,140.5,7497900,142.0,142.0,139.5
2025-02-21,142.0,5312600,142.8,142.9,141.5
2025-02-20,143.0,3385400,144.2,144.6,143.0
2025-02-19,144.0,3029800,143.9,144.9,143.1
2025-02-18,143.9,1664400,143.8,144.4,143.1
2025-02-17,143.6,2466300,145.0,145.0,143.4
2025-02-14,144.9,3251700,144.0,145.0,143.6
2025-02-13,143.1,2850800,145.0,145.0,142.7
2025-02-12,145.0,1887400,145.6,145.7,144.3
2025-02-11,145.4,5361400,142.2,145.4,140.1
2025-02-10,142.0,7749600,145.5,145.5,142.0
2025-02-07,146.1,3865900,146.5,146.7,145.8
2025-02-06,146.5,3426600,147.0,147.3,145.6
2025-02-05,146.3,5204100,146.9,147.5,145.8
2025-02-04,146.2,5467700,146.0,147.0,145.3
2025-01-24,153.4,3655700,154.1,154.5,153.4
2025-01-23,154.3,7057800,150.1,156.0,150.0
