date,close,volume,open,high,low
2025-04-29,58.3,310200,58.4,58.4,58.2
2025-04-28,58.4,271300,58.4,58.5,58.1
2025-04-25,58.5,913600,57.6,58.5,57.5
2025-04-24,57.5,410200,57.5,58.0,57.3
2025-04-23,57.5,698300,58.1,58.6,57.4
2025-04-22,57.5,1110400,57.1,58.1,54.3
2025-04-21,58.1,300000,58.4,58.7,57.8
2025-04-18,58.4,656600,58.4,59.4,58.3
2025-04-17,58.1,483900,57.3,58.3,57.0
2025-04-16,58.1,628800,58.2,58.8,57.1
2025-04-15,58.2,840700,59.0,59.3,58.1
2025-04-14,59.2,1092600,59.8,59.8,58.6
2025-04-11,58.1,2256900,58.1,58.1,55.8
2025-04-10,54.3,57500,54.3,54.3,54.3
2025-04-09,50.8,2768600,50.8,56.0,50.8
2025-04-08,54.6,2632500,56.0,56.3,54.6
2025-04-04,58.7,2745000,58.2,60.8,58.2
2025-04-03,62.5,2014500,63.5,65.4,62.5
2025-04-02,67.1,254300,67.2,67.6,67.0
2025-04-01,67.5,870900,66.9,67.8,66.7
2025-03-31,66.8,727900,66.8,66.8,66.0
2025-03-28,66.8,771800,67.4,67.4,66.8
2025-03-27,67.2,426500,67.6,68.0,67.1
2025-03-26,67.5,548300,67.3,68.2,67.2
2025-03-25,67.2,767600,67.5,67.6,67.1
2025-03-24,67.2,1195100,68.0,68.0,67.0
2025-03-21,67.7,1173400,68.5,68.6,67.7
2025-03-20,68.6,750000,68.7,69.1,68.1
2025-03-19,68.8,703700,69.1,69.8,68.6
2025-03-18,69.1,2797200,68.6,69.9,68.1
2025-03-17,68.2,1117200,67.8,68.4,67.7
2025-03-14,67.7,942800,68.2,68.3,67.3
2025-03-13,68.3,1088000,67.9,68.8,67.8
2025-03-12,67.9,761300,67.8,68.3,67.4
2025-03-11,67.4,523600,67.6,67.7,67.0
2025-03-10,67.8,1420900,68.1,68.2,67.2
2025-03-07,67.8,1398100,68.3,68.4,67.7
2025-03-06,68.3,829800,68.3,68.5,68.1
2025-03-05,68.4,740500,69.2,69.3,68.4
2025-03-04,69.1,1445200,68.6,69.4,68.3
2025-03-03,68.6,647800,68.1,68.7,68.1
2025-02-28,68.0,787600,68.1,68.7,68.0
2025-02-27,68.0,809600,68.4,68.6,67.9
2025-02-26,68.4,519300,68.7,68.9,68.4
2025-02-25,68.7,809600,68.7,69.3,68.3
2025-02-24,68.6,1066000,68.2,68.8,67.8
2025-02-21,68.4,767500,68.6,68.8,68.2
2025-02-20,68.8,601500,69.2,69.3,68.5
2025-02-19,68.7,1389800,68.2,69.0,67.9
2025-02-18,68.0,634400,68.0,68.3,67.7
2025-02-17,67.8,762900,67.7,68.4,67.5
2025-02-14,67.7,1147200,67.3,67.9,67.0
2025-02-13,66.7,650700,67.1,67.1,66.6
2025-02-12,67.1,344200,67.0,67.5,67.0
2025-02-11,67.0,671300,67.3,67.9,66.5
2025-02-10,67.3,732900,67.2,67.6,66.9
2025-02-07,67.3,818200,67.6,68.0,67.3
2025-02-06,67.6,539300,68.2,68.2,67.5
2025-02-05,67.8,652400,67.5,68.1,67.4
2025-02-04,67.1,398400,66.9,67.3,66.9
2025-01-24,67.9,432300,67.0,67.9,66.8
2025-01-23,67.0,317100,66.8,67.2,66.7
2025-01-22,66.8,313300,67.5,67.5,66.7
2025-01-21,67.1,349300,68.0,68.1,67.1
2025-01-20,67.7,662000,67.2,68.2,66.8
2025-01-17,66.8,321700,67.2,67.2,66.6
2025-01-16,66.9,493400,67.1,67.3,66.6
2025-01-15,66.8,395000,67.2,67.4,66.8
2025-01-14,66.9,397300,66.5,67.4,66.5
2025-01-13,66.4,542400,66.7,67.1,66.2
2025-01-10,66.7,422600,67.0,67.5,66.7
2025-01-09,67.0,369400,67.2,67.5,66.8
2025-01-08,67.1,521700,67.0,67.2,66.6
2025-01-07,67.0,683200,67.6,67.9,66.9
2025-01-06,67.5,673300,68.0,68.2,67.3
2025-01-03,68.0,460500,68.1,68.4,68.0
2025-01-02,68.1,427800,68.3,68.5,68.0
2024-12-31,68.1,770800,68.4,68.7,68.1
2024-12-30,68.2,402400,68.6,68.8,68.2
2024-12-27,68.5,539900,68.7,69.0,68.5
2024-12-26,68.5,997100,68.6,69.6,68.5
2024-12-25,68.4,456300,68.3,68.9,68.3
2024-12-24,68.2,509800,68.6,68.7,68.2
2024-12-23,68.5,563700,68.8,69.1,68.5
2024-12-20,68.6,341700,68.5,68.8,68.4
2024-12-19,68.5,721400,68.2,68.6,68.0
2024-12-18,68.5,504100,68.4,68.7,68.3
2024-12-17,68.0,412900,68.1,68.5,68.0
2024-12-16,68.1,350100,68.5,68.6,68.1
2024-12-13,68.4,348000,68.5,68.6,68.2
2024-12-12,68.5,516000,68.8,69.0,68.5
2024-12-11,68.7,539000,69.0,69.2,68.6
2024-12-10,69.0,402500,69.4,69.6,69.0
2024-12-09,69.3,395900,69.5,69.5,69.2
2024-12-06,69.2,430800,69.9,69.9,69.0
2024-12-05,68.9,630900,68.7,69.8,68.5
2024-12-04,68.6,308300,68.7,69.2,68.5
2024-12-03,68.7,634300,69.3,69.6,68.7
2024-12-02,69.2,404200,69.7,69.8,69.0
2024-11-29,69.6,283000,69.3,69.8,69.2
2024-11-28,69.3,442900,69.3,70.0,69.3
2024-11-27,69.3,417500,69.8,69.8,69.0
2024-11-26,69.6,448200,69.4,69.9,69.4
2024-11-25,69.3,901200,69.4,70.3,69.3
2024-11-22,69.2,1015100,68.6,70.6,68.6
2024-11-21,68.2,1167900,67.8,68.6,67.8
2024-11-20,67.6,711800,67.9,68.4,67.5
2024-11-19,67.9,693100,69.5,69.7,67.9
2024-11-18,69.0,936700,68.6,69.1,68.3
2024-11-15,68.6,774000,68.9,69.4,68.6
2024-11-14,69.0,543800,69.2,70.3,69.0
2024-11-13,69.5,827600,70.0,70.0,68.0
2024-11-12,69.8,425500,70.1,70.5,69.8
2024-11-11,70.1,544200,70.1,70.5,70.0
2024-11-08,70.0,428800,70.2,70.8,70.0
2024-11-07,70.1,372800,71.0,71.0,70.1
2024-11-06,70.1,501500,70.0,71.1,69.9
2024-11-05,69.6,542000,69.9,70.0,69.4
2024-11-04,69.9,461700,70.4,70.4,69.9
2024-11-01,70.2,427300,70.5,70.7,70.0
2024-10-31,70.5,620200,71.0,71.0,70.5
2024-10-30,70.6,318400,70.9,71.3,70.6
2024-10-29,70.8,352000,70.7,71.1,70.7
2024-10-28,70.7,311300,70.9,71.0,70.7
2024-10-25,70.9,322500,71.0,71.4,70.9
2024-10-24,71.0,413400,70.9,71.2,70.9
2024-10-23,70.9,667000,71.2,71.2,70.7
2024-10-22,71.2,545500,71.7,71.9,71.2
2024-10-21,71.7,469700,71.7,71.7,71.3
2024-10-18,71.7,322500,71.6,72.3,71.6
2024-10-17,71.5,739500,72.0,72.3,71.2
2024-10-16,72.0,758400,72.6,72.7,72.0
2024-10-15,72.7,596300,72.7,73.0,72.4
2024-10-14,72.9,526200,73.6,73.6,72.7
2024-10-11,73.2,603500,73.5,73.7,73.2
2024-10-10,73.3,1046200,73.2,73.6,72.5
2024-10-09,72.7,547200,72.6,72.9,72.3
2024-10-08,72.6,637900,73.4,73.4,72.6
2024-10-07,72.9,580700,73.5,73.7,72.6
2024-10-04,73.3,867900,72.8,73.7,72.5
2024-10-03,72.5,793300,73.4,73.4,72.5
2024-10-02,72.9,1053700,73.3,74.0,72.9
2024-10-01,73.0,1032300,73.3,73.7,73.0
2024-09-30,73.2,646900,73.5,73.6,73.0
2024-09-27,73.5,536000,74.2,74.3,73.5
2024-09-26,74.0,1109800,73.8,74.6,73.8
2024-09-25,73.8,665000,74.0,74.0,73.5
2024-09-24,73.7,853100,73.0,73.9,73.0
2024-09-23,73.0,552300,73.1,73.3,72.9
2024-09-20,73.1,998500,73.6,73.8,73.0
2024-09-19,73.4,980600,73.2,73.4,72.9
2024-09-18,73.1,777600,73.3,73.5,72.9
2024-09-17,72.7,764100,72.6,73.2,72.3
2024-09-16,72.6,1863200,74.0,74.0,72.6
2024-09-13,74.3,2093200,76.1,76.1,74.2
2024-09-12,76.076,1759000,76.258,76.622,75.894
2024-09-11,76.076,1490200,76.44,76.44,75.53
2024-09-10,76.531,1905500,76.986,77.53200000000001,75.98500000000001
2024-09-09,77.077,1968200,76.258,77.714,76.167
2024-09-06,76.531,877900,76.89500000000001,76.89500000000001,76.25800000000001
2024-09-05,75.803,900300,76.804,77.168,75.803
2024-09-04,76.349,1377600,75.53,76.804,75.43900000000001
2024-08-30,75.803,958100,76.167,76.44,75.803
2024-08-29,75.894,907700,76.258,76.53099999999999,75.894
2024-08-28,76.258,845500,75.803,76.622,75.803
2024-08-27,75.985,1795300,76.895,76.895,75.53
2024-08-26,76.622,1215500,77.532,77.62299999999999,76.349
2024-08-23,77.077,891400,77.077,77.714,76.98599999999999
2024-08-22,76.895,1300200,77.62299999999999,77.714,76.713
2024-08-21,77.35,2170800,76.895,77.80499999999999,76.804
2024-08-20,76.895,2910000,77.532,78.35099999999998,76.895
2024-08-19,76.895,3021100,75.25699999999999,77.077,75.16599999999998
2024-08-16,75.166,2313100,74.256,75.621,73.71000000000001
2024-08-15,73.892,1248000,74.61999999999999,75.25699999999999,73.892
2024-08-14,74.62,2298800,74.52900000000001,75.803,74.438
2024-08-13,74.165,1731900,74.893,74.893,73.801
2024-08-12,75.075,1889500,74.256,75.803,73.89200000000001
2024-08-09,74.256,1243900,74.62,74.802,73.61900000000001
2024-08-08,74.347,3931000,72.254,74.984,71.79899999999999
2024-08-07,72.254,1832200,70.616,72.345,70.616
2024-08-06,70.343,888700,69.888,70.98,69.61500000000001
2024-08-05,69.615,2101300,70.97999999999999,71.43499999999999,69.524
2024-08-02,71.799,1395600,71.071,71.799,70.798
2024-08-01,71.799,1422900,72.89099999999999,73.801,71.617
2024-07-31,72.709,3188600,70.434,73.255,70.434
2024-07-30,70.252,631600,70.07,70.252,69.88799999999999
2024-07-29,70.07,362200,70.52499999999999,70.52499999999999,70.07
2024-07-26,70.252,545800,69.70599999999999,70.252,69.615
2024-07-25,69.888,490600,69.97900000000001,70.07000000000001,69.52400000000002
2024-07-24,70.07,1006200,69.797,70.434,69.43299999999999
2024-07-23,69.888,656800,70.161,70.343,69.888
2024-07-22,70.07,1142800,70.79799999999999,70.79799999999999,69.70599999999999
2024-07-19,70.798,663300,71.071,71.34400000000001,70.70700000000001
2024-07-18,71.071,1131900,71.071,71.526,70.798
2024-07-17,70.98,1573000,71.708,71.708,70.161
2024-07-16,71.253,907800,71.89,71.981,71.253
2024-07-15,71.253,1208600,71.89,72.254,71.253
