date,close,volume,open,high,low
2025-04-29,23.7,3078300,23.5,24.0,23.3
2025-04-28,23.5,2733400,24.0,24.0,23.15
2025-04-25,23.8,3552300,23.65,24.0,23.55
2025-04-24,23.55,5767100,23.4,24.5,23.3
2025-04-23,23.15,6047400,22.85,23.6,21.7
2025-04-22,22.3,6821400,23.6,23.65,22.05
2025-04-21,23.7,2932600,24.5,24.6,23.6
2025-04-18,24.5,3253400,24.8,24.8,24.5
2025-04-17,24.2,4874600,23.35,24.4,23.35
2025-04-16,23.5,6426600,24.1,25.0,23.5
2025-04-15,24.4,6815900,25.55,26.0,24.4
2025-04-14,26.2,4547200,27.25,27.3,25.8
2025-04-11,26.0,10906200,24.5,26.8,23.85
2025-04-10,25.6,2523800,25.6,25.6,25.6
2025-04-09,23.95,459100,23.95,23.95,23.95
2025-04-08,25.75,461900,25.75,25.75,25.75
2025-04-04,27.65,1437200,27.65,27.65,27.65
2025-04-03,29.7,3332700,29.7,30.1,29.7
2025-04-02,31.9,1929900,31.95,32.3,31.7
2025-04-01,31.85,3786400,32.45,32.75,31.6
2025-03-31,32.4,9067500,34.65,34.8,32.4
2025-03-28,34.8,4680600,35.05,35.6,34.8
2025-03-27,34.95,3998000,34.55,35.15,34.5
2025-03-26,34.5,2813400,34.5,34.9,34.25
2025-03-25,34.6,4845000,34.3,35.35,33.9
2025-03-24,34.15,2533500,34.55,34.6,33.7
2025-03-21,34.55,4101100,34.5,35.3,34.35
2025-03-20,34.5,2368900,35.0,35.0,34.0
2025-03-19,34.8,8590800,33.4,35.35,33.3
2025-03-18,33.4,4240900,33.2,33.75,32.95
2025-03-17,33.05,2746500,33.35,33.45,32.85
2025-03-14,33.3,4168200,33.0,33.65,32.95
2025-03-13,33.0,4500600,32.9,33.75,32.75
2025-03-12,32.8,2208000,33.3,33.4,32.8
2025-03-11,33.4,3157200,33.0,33.45,32.3
2025-03-10,33.3,2626600,33.6,33.7,33.15
2025-03-07,33.5,3000600,34.0,34.1,33.5
2025-03-06,34.0,4939600,33.0,34.0,33.0
2025-03-05,33.0,2713400,33.6,33.6,33.0
2025-03-04,33.5,5964800,33.0,33.95,32.9
2025-03-03,33.1,2783900,33.6,33.65,33.0
2025-02-28,33.4,6457800,32.7,33.8,32.35
2025-02-27,32.7,3126500,32.55,32.7,31.9
