date,close,volume,open,high,low
2025-05-07,25.4,11501800,25.35,25.5,25.35
2025-05-06,25.45,20937300,25.75,26.05,25.45
2025-05-05,25.7,12548300,25.65,25.75,25.35
2025-04-29,25.5,14467400,25.65,25.7,25.4
2025-04-28,25.65,9757000,25.7,25.7,25.35
2025-04-25,25.7,24849000,25.45,25.7,25.25
2025-04-24,25.6,17212000,25.7,25.7,25.2
2025-04-23,25.55,22232700,25.5,25.7,25.35
2025-04-22,25.05,47447000,24.8,25.1,23.4
2025-04-21,24.95,17306200,25.45,25.45,24.95
2025-04-18,25.45,20765500,25.65,25.75,25.45
2025-04-17,25.5,24441000,25.2,25.6,24.8
2025-04-16,25.5,25705300,25.9,26.0,25.05
2025-04-15,25.85,50570600,25.15,26.15,25.05
2025-04-14,25.35,51203900,24.8,25.75,24.75
2025-04-11,24.3,76273700,24.2,24.3,23.5
2025-04-10,22.75,3062400,22.75,22.75,22.75
2025-04-09,21.3,77156800,21.3,22.3,21.3
2025-04-08,22.9,35443300,23.5,24.0,22.9
2025-04-04,24.6,73181200,23.6,24.85,23.6
2025-04-03,25.35,80695800,25.8,26.45,25.35
2025-04-02,27.25,16785400,27.15,27.4,27.1
2025-04-01,27.0,14018400,26.8,27.05,26.75
2025-03-31,26.75,26536400,27.05,27.1,26.75
2025-03-28,27.15,17070200,27.45,27.5,27.1
2025-03-27,27.5,12009700,27.7,27.7,27.45
2025-03-26,27.55,43980000,27.2,27.95,27.15
2025-03-25,27.2,20101000,27.25,27.4,27.1
2025-03-24,27.15,16229800,27.15,27.25,26.9
2025-03-21,27.15,18912200,27.1,27.25,27.05
2025-03-20,27.15,25022500,27.3,27.45,27.05
2025-03-19,27.25,37925600,27.6,27.6,27.1
2025-03-18,27.6,18741700,27.9,28.05,27.6
2025-03-17,27.85,19719700,27.9,28.15,27.75
2025-03-14,27.55,18279900,27.7,27.85,27.55
2025-03-13,27.7,24809400,27.85,28.05,27.7
2025-03-12,27.8,20641600,28.2,28.2,27.8
2025-03-11,28.15,26088500,27.6,28.15,27.6
2025-03-10,27.95,23580500,28.1,28.2,27.95
2025-03-07,28.05,33131200,28.0,28.1,27.75
2025-03-06,27.95,36975600,27.6,27.95,27.6
2025-03-05,27.55,30385500,27.85,27.9,27.55
2025-03-04,27.85,27424100,28.05,28.05,27.65
2025-03-03,28.05,20663700,28.05,28.25,28.0
2025-02-28,28.0,24214400,28.4,28.4,27.95
2025-02-27,28.45,51120800,27.8,28.45,27.6
2025-02-26,27.75,31819600,27.6,27.95,27.55
