date,close,volume,open,high,low
2025-04-29,62.5,3854100,61.8,62.5,61.8
2025-04-28,62.5,4247600,62.4,62.5,61.0
2025-04-25,62.0,10545400,60.0,62.0,59.9
2025-04-24,59.9,4948200,60.0,60.0,58.3
2025-04-23,59.6,5295500,59.7,59.9,58.9
2025-04-22,58.7,9268700,57.5,59.1,54.1
2025-04-21,58.1,3787400,58.0,58.5,56.9
2025-04-18,58.0,3630300,57.9,59.0,57.9
2025-04-17,57.3,4980400,55.0,57.6,55.0
2025-04-16,56.4,6391100,58.3,58.8,56.4
2025-04-15,58.5,6076700,59.0,60.9,58.1
2025-04-14,60.0,7927500,57.7,60.3,56.9
2025-04-11,57.1,14118700,55.4,57.5,53.1
2025-04-10,53.8,491600,53.8,53.8,53.8
2025-04-09,50.3,13474100,50.3,52.9,50.3
2025-04-08,54.0,5452200,55.1,56.8,54.0
2025-04-04,58.0,14296500,57.2,58.7,57.2
2025-04-03,61.4,10609500,63.0,63.9,61.4
2025-04-02,66.0,3637800,66.7,67.0,66.0
2025-04-01,66.2,6498900,67.8,67.8,65.6
2025-03-31,66.8,6976700,68.5,69.7,66.8
2025-03-28,68.5,3797400,69.4,69.6,68.3
2025-03-27,69.4,7235300,68.6,70.7,68.5
2025-03-26,68.3,3801800,68.6,69.6,68.3
2025-03-25,68.5,2767600,68.5,69.0,68.1
2025-03-24,68.5,2426900,67.8,68.8,67.8
2025-03-21,67.9,3804100,68.6,68.6,67.5
2025-03-20,68.4,3437000,68.5,69.1,68.2
2025-03-19,68.5,6651600,69.5,69.6,68.5
2025-03-18,69.6,6175200,70.7,71.3,69.6
2025-03-17,70.5,4528900,71.4,71.4,70.3
2025-03-14,71.1,7301100,70.5,71.9,70.4
2025-03-13,70.4,11573600,68.7,71.2,68.7
2025-03-12,68.7,4987800,68.9,69.7,68.7
2025-03-11,68.9,4533500,68.2,68.9,68.1
2025-03-10,68.9,5117800,69.0,69.9,68.7
2025-03-07,69.0,4410100,69.2,70.0,68.4
2025-03-06,69.2,4342500,68.4,69.2,68.2
2025-03-05,68.2,6222600,69.3,70.2,68.2
2025-03-04,69.1,5946400,68.0,69.1,67.4
2025-03-03,68.0,2758100,67.8,68.4,67.7
2025-02-28,67.7,3925400,68.4,68.5,67.5
2025-02-27,68.4,4565500,68.5,69.3,68.2
2025-02-26,68.3,2082800,68.4,68.6,68.0
2025-02-25,68.4,5119200,67.8,68.9,67.8
2025-02-24,67.6,3245600,67.2,67.7,66.8
2025-02-21,67.6,2315500,68.0,68.0,67.2
2025-02-20,68.0,2935400,68.0,68.0,67.5
2025-02-19,67.7,3261800,66.6,67.7,66.6
2025-02-18,66.4,2602400,66.4,67.2,66.0
2025-02-17,66.4,5693000,68.1,68.4,66.2
2025-02-14,68.1,2983400,69.2,69.4,67.8
2025-02-13,68.9,1824000,68.8,69.0,68.3
2025-02-12,69.0,2088500,68.7,69.1,68.3
2025-02-11,68.7,2435600,68.8,68.9,68.1
2025-02-10,68.8,6909800,67.8,69.7,67.8
2025-02-07,67.7,2265600,67.7,68.0,67.2
2025-02-06,67.4,2799000,67.5,68.1,67.2
2025-02-05,67.5,4852700,68.7,68.7,67.3
2025-02-04,68.6,3948000,68.1,68.8,68.1
2025-01-24,68.0,6680300,65.5,68.0,65.4
2025-01-23,65.4,3685200,65.3,66.1,65.2
2025-01-22,65.2,2338800,65.8,66.2,65.2
2025-01-21,65.7,2258500,65.6,66.4,65.4
2025-01-20,65.5,1814200,66.0,66.3,65.5
2025-01-17,65.9,1689700,66.3,66.4,65.7
2025-01-16,66.3,2458700,66.5,66.5,65.3
2025-01-15,65.8,4159100,64.5,66.4,64.0
2025-01-14,63.7,3586600,65.0,65.3,63.7
2025-01-13,65.0,3672000,65.4,65.5,64.4
2025-01-10,65.5,2905200,67.3,67.4,65.5
2025-01-09,67.3,1886700,67.8,68.1,66.8
2025-01-08,67.7,2812900,66.9,68.0,66.6
2025-01-07,66.8,5735600,67.3,68.2,66.5
2025-01-06,67.2,5156900,69.8,70.2,67.2
2025-01-03,69.7,2679200,70.8,70.8,69.6
2025-01-02,70.8,2326400,70.1,70.9,70.0
2024-12-31,70.0,2800400,70.2,70.8,70.0
2024-12-30,70.1,1654300,70.3,70.8,70.0
2024-12-27,70.4,2398100,70.5,71.1,70.4
2024-12-26,70.5,2134200,71.1,71.3,70.5
2024-12-25,70.7,3713100,70.2,71.2,70.2
2024-12-24,70.2,3833400,70.4,70.6,69.9
2024-12-23,70.3,1755400,70.9,71.0,70.3
2024-12-20,70.3,2753800,70.5,70.6,70.0
2024-12-19,70.4,3513100,71.0,71.2,70.3
2024-12-18,71.4,2486900,71.1,71.4,71.0
2024-12-17,71.0,1652300,71.0,71.3,71.0
2024-12-16,71.1,2462600,71.2,71.7,70.9
2024-12-13,71.1,3536600,72.0,72.0,71.0
2024-12-12,72.1,2674500,72.5,72.7,72.1
2024-12-11,72.7,2857600,73.0,73.7,72.2
2024-12-10,72.7,2512300,73.0,73.3,72.7
2024-12-09,73.2,2810900,73.4,73.6,73.1
2024-12-06,73.4,5635400,74.1,74.2,73.2
2024-12-05,73.7,5390800,71.9,73.7,71.8
2024-12-04,72.1,4106400,72.5,72.5,71.4
2024-12-03,72.7,2928400,72.4,73.0,72.4
2024-12-02,72.6,2724700,73.2,73.5,72.5
2024-11-29,73.2,4424300,72.5,73.6,72.2
2024-11-28,72.4,3106100,72.9,73.0,72.2
2024-11-27,72.7,2239300,72.5,72.9,72.4
2024-11-26,72.7,4756300,72.3,73.1,72.1
2024-11-25,72.2,4915500,71.2,72.5,71.0
2024-11-22,71.0,3658600,71.3,71.6,70.8
2024-11-21,71.3,3799900,70.5,71.5,70.1
2024-11-20,70.3,3919900,69.9,70.9,69.1
2024-11-19,70.0,3920200,70.6,71.4,70.0
2024-11-18,70.3,5225100,70.6,71.1,69.3
2024-11-15,70.6,5685500,71.1,71.7,70.6
2024-11-14,71.4,4521100,72.6,73.2,71.4
2024-11-13,73.0,4122600,72.3,73.1,71.9
2024-11-12,72.5,3990400,73.5,73.9,72.4
