date,close,volume,open,high,low
2025-04-29,58.4,4737800,58.5,58.8,57.0
2025-04-28,58.5,7393800,62.1,62.1,58.5
2025-04-25,62.3,11381200,61.0,62.5,60.1
2025-04-24,61.2,12662600,58.5,61.8,57.6
2025-04-23,58.5,10647900,58.2,58.5,57.0
2025-04-22,57.5,10732600,55.0,58.0,52.4
2025-04-21,55.0,7721400,54.1,55.4,53.4
2025-04-18,55.0,13530600,56.8,57.0,53.3
2025-04-17,56.8,6338100,56.0,56.8,54.8
2025-04-16,56.5,10845000,57.0,57.9,55.0
2025-04-15,57.5,15962600,57.9,60.5,57.2
2025-04-14,57.2,16827300,54.0,57.2,53.7
2025-04-11,53.5,14557800,51.8,53.7,51.0
2025-04-10,51.8,752100,51.8,51.8,51.8
2025-04-09,48.5,15153600,45.6,48.8,45.6
2025-04-08,47.0,21438100,48.7,49.5,46.8
2025-04-04,50.3,21595400,46.1,50.6,46.1
2025-04-03,49.3,23521900,50.3,51.6,49.3
2025-04-02,53.0,10657600,53.2,53.6,52.6
2025-04-01,53.0,11851000,51.8,53.5,51.5
2025-03-31,51.3,9374200,51.2,51.6,51.0
2025-03-28,51.2,8166000,51.1,51.9,50.7
2025-03-27,51.2,7904300,51.5,51.7,50.5
2025-03-26,51.5,9611000,51.8,52.2,50.2
2025-03-25,51.5,12918800,51.9,52.5,51.1
2025-03-24,51.3,15552100,48.45,51.4,48.35
2025-03-21,48.25,13695700,47.1,48.4,47.1
2025-03-20,47.35,13458400,47.35,48.2,46.95
2025-03-19,47.35,13442500,46.8,47.9,46.25
2025-03-18,47.3,12239500,47.6,48.75,46.8
2025-03-17,47.8,11017800,47.95,48.0,46.8
2025-03-14,47.9,16861700,47.7,48.9,47.7
2025-03-13,47.8,22269900,47.0,49.55,46.55
2025-03-12,46.95,15641200,45.4,47.3,45.4
2025-03-11,45.5,12103400,44.6,45.55,44.2
2025-03-10,45.3,12066400,45.0,45.8,44.7
2025-03-07,44.95,17823300,43.6,45.75,43.3
2025-03-06,43.6,11952800,42.85,43.6,42.85
2025-03-05,42.7,10682200,42.05,43.0,42.05
