date,close,volume,open,high,low
2025-04-29,68.0,13384800,67.0,68.0,63.8
2025-04-28,68.0,7023300,67.8,69.0,66.7
2025-04-25,67.0,14779000,64.4,67.0,64.0
2025-04-24,62.7,8730000,58.9,62.7,58.6
2025-04-23,58.6,18984200,60.0,60.3,58.3
2025-04-22,59.0,12818600,62.0,62.7,58.0
2025-04-21,61.5,15468900,64.1,67.4,61.5
2025-04-18,66.1,10565700,71.8,71.8,66.1
2025-04-17,71.0,8063200,67.7,71.0,67.2
2025-04-16,67.9,7547800,70.6,72.0,67.4
2025-04-15,70.5,12266200,70.4,74.4,70.0
2025-04-14,69.6,8825200,66.5,69.6,66.0
2025-04-11,65.1,13360300,59.7,65.1,59.7
2025-04-10,60.9,3803200,60.9,60.9,60.9
2025-04-09,57.0,13002500,52.1,58.4,52.1
2025-04-08,55.1,11574700,58.0,58.0,54.3
2025-04-04,58.3,14551100,54.2,59.5,53.4
2025-04-03,56.2,19210900,58.2,59.8,56.2
2025-04-02,60.4,7316000,60.5,61.2,59.5
2025-04-01,59.7,7757400,58.7,60.8,58.2
2025-03-31,58.0,6654000,57.8,58.5,57.3
2025-03-28,58.0,5542600,57.0,58.3,56.9
2025-03-27,57.1,4569200,57.5,58.7,56.6
2025-03-26,57.0,6487700,57.8,58.0,55.7
2025-03-25,56.9,7932000,57.7,59.2,56.6
2025-03-24,56.7,11901000,53.0,56.7,52.7
2025-03-21,53.0,7486300,51.6,53.0,51.0
2025-03-20,51.5,6629100,52.0,53.2,50.7
2025-03-19,51.9,10342000,50.8,52.5,49.2
2025-03-18,51.3,6017000,52.1,52.7,51.1
2025-03-17,52.1,6497300,52.5,52.7,50.8
2025-03-14,52.2,8422600,51.8,52.8,51.4
2025-03-13,51.4,16415000,48.3,51.4,47.5
2025-03-12,48.1,7003400,47.35,48.25,47.35
2025-03-11,47.3,5692400,46.9,47.3,46.5
2025-03-10,47.3,9904400,45.9,47.9,45.8
2025-03-07,45.3,11502700,42.3,45.3,42.25
2025-03-06,42.35,2628200,42.3,42.55,42.05
2025-03-05,42.25,2907700,42.05,42.5,42.0
2025-03-04,41.95,3056500,42.45,42.5,41.8
2025-03-03,42.05,2857500,41.3,42.4,41.2
2025-02-28,41.2,2771000,41.05,41.6,40.7
2025-02-27,41.05,1441600,41.2,41.2,40.75
2025-02-26,41.0,1364900,41.0,41.1,40.8
2025-02-25,40.7,1793300,40.7,41.15,40.65
2025-02-24,40.6,1540100,40.35,40.65,40.35
2025-02-21,40.65,1332100,40.95,40.95,40.65
2025-02-20,40.95,2936300,40.45,41.25,40.4
2025-02-19,40.4,1574300,40.2,40.5,40.05
2025-02-18,40.2,1200000,40.1,40.45,39.9
2025-02-17,40.1,851700,40.25,40.4,40.05
2025-02-14,40.25,996500,40.5,40.5,40.2
2025-02-13,40.25,1052900,39.9,40.3,39.85
2025-02-12,39.9,940900,39.95,40.1,39.9
2025-02-11,39.95,1436000,40.0,40.1,39.85
2025-02-10,40.0,1534300,40.35,40.35,40.0
2025-02-07,40.65,1394900,40.5,40.7,40.25
2025-02-06,40.45,1314600,40.35,40.55,40.05
2025-02-05,40.05,1059300,40.2,40.45,40.05
2025-02-04,40.1,1440900,40.05,40.2,39.85
2025-01-24,40.4,1387900,40.25,40.5,40.2
2025-01-23,40.4,1420100,40.4,40.65,40.25
2025-01-22,40.4,1135200,40.5,40.5,40.1
2025-01-21,40.45,1313500,40.55,40.55,40.3
2025-01-20,40.4,646200,40.3,40.45,40.25
2025-01-17,40.45,1173800,40.5,40.55,40.25
2025-01-16,40.45,1999800,40.3,40.65,40.1
2025-01-15,40.25,874200,40.3,40.35,40.0
2025-01-14,40.2,2326300,40.2,40.2,39.8
2025-01-13,40.3,1680700,39.7,40.35,39.7
2025-01-10,40.5,1104600,40.75,40.9,40.4
2025-01-09,40.75,1187900,40.55,41.0,40.5
2025-01-08,40.5,925800,40.4,40.55,40.3
2025-01-07,40.5,1965000,40.3,40.55,40.2
2025-01-06,40.5,1625900,40.4,40.5,40.3
2025-01-03,40.5,1729100,40.55,40.55,40.15
2025-01-02,40.55,1340500,40.5,40.55,40.3
2024-12-31,40.55,1784400,40.55,40.6,40.3
2024-12-30,40.55,1415300,40.35,40.6,40.3
2024-12-27,40.55,1497700,40.7,40.9,40.55
2024-12-26,40.65,877500,40.7,41.0,40.65
2024-12-25,40.65,1908100,40.6,41.05,40.55
2024-12-24,40.6,1333700,40.5,40.6,40.35
2024-12-23,40.6,999700,40.5,40.85,40.5
2024-12-20,40.5,1569200,40.3,40.5,40.25
2024-12-19,40.3,2486800,40.3,40.4,40.1
2024-12-18,40.6,850100,40.55,40.85,40.55
2024-12-17,40.55,1329900,40.7,40.8,40.55
2024-12-16,40.7,1159200,40.8,40.9,40.6
2024-12-13,40.8,1952200,40.75,40.9,40.6
2024-12-12,40.9,2147400,41.3,41.35,40.9
2024-12-11,41.3,2168100,41.2,41.4,40.9
2024-12-10,41.2,2352900,41.85,41.9,41.2
2024-12-09,41.85,3341600,42.1,42.85,41.85
2024-12-06,41.85,5327100,40.85,42.3,40.75
2024-12-05,40.85,3370100,40.8,41.0,40.3
2024-12-04,40.0,2491600,40.4,40.4,39.8
2024-12-03,40.4,1873300,40.4,40.6,40.25
2024-12-02,40.35,2064000,40.55,40.95,40.3
2024-11-29,40.5,1965400,40.65,40.75,40.5
2024-11-28,40.7,1116300,41.1,41.2,40.7
2024-11-27,40.75,992200,41.05,41.05,40.75
2024-11-26,41.05,1230800,41.0,41.3,41.0
2024-11-25,41.0,1915300,40.45,41.0,40.45
2024-11-22,40.45,1336300,40.35,40.85,40.3
2024-11-21,40.35,1991900,40.35,40.6,40.3
2024-11-20,40.35,1840800,40.2,40.65,40.15
2024-11-19,40.35,1858400,40.4,40.7,40.35
2024-11-18,40.4,1892700,40.55,40.85,40.35
2024-11-15,40.55,2310300,40.65,41.05,40.55
2024-11-14,40.7,1968300,40.65,41.3,40.6
2024-11-13,40.6,2043200,40.85,41.15,40.5
2024-11-12,40.55,2485900,41.0,41.5,40.5
