date,close,volume,open,high,low
2025-04-29,57.6,2556000,57.5,57.9,57.2
2025-04-28,57.5,2664700,58.3,58.3,57.5
2025-04-25,58.3,8119700,56.5,58.3,56.5
2025-04-24,56.3,1956400,56.5,56.8,56.2
2025-04-23,56.4,3586000,56.8,57.3,56.4
2025-04-22,56.0,6955000,56.6,56.6,53.9
2025-04-21,56.7,3021400,56.8,57.1,56.5
2025-04-18,56.6,3037200,56.7,57.3,56.6
2025-04-17,56.0,7219000,55.5,56.6,54.8
2025-04-16,56.0,3735600,56.4,57.2,56.0
2025-04-15,56.3,4163500,56.7,57.5,56.3
2025-04-14,56.9,5479700,57.9,57.9,56.5
2025-04-11,57.5,9164400,55.6,58.4,55.6
2025-04-10,55.6,1514300,55.6,55.6,55.6
2025-04-09,52.0,9882600,51.4,55.2,51.4
2025-04-08,54.5,13324100,56.7,56.9,54.5
2025-04-04,58.5,9776600,54.0,58.8,53.8
2025-04-03,56.5,16938200,59.5,59.6,56.3
2025-04-02,60.5,4684400,60.7,61.4,60.5
2025-04-01,60.8,3129300,61.2,61.2,60.3
2025-03-31,60.6,5301500,60.8,61.6,60.6
2025-03-28,60.3,5430100,61.0,61.1,60.2
2025-03-27,61.1,2230500,61.2,61.5,61.1
2025-03-26,61.2,1846000,61.5,61.9,61.2
2025-03-25,61.4,2323000,61.7,61.7,61.2
2025-03-24,61.4,2488900,61.4,62.0,61.1
2025-03-21,61.3,3325900,61.8,61.8,61.2
2025-03-20,61.8,3888200,62.2,62.2,61.3
2025-03-19,62.3,3038400,62.7,62.8,61.9
2025-03-18,62.5,3281900,63.1,63.1,62.5
2025-03-17,63.0,4062100,62.4,63.4,62.4
2025-03-14,62.1,2696700,62.4,62.7,62.1
2025-03-13,62.0,5100400,62.3,62.9,61.9
2025-03-12,62.2,2755400,62.5,62.8,62.2
2025-03-11,62.4,2287600,62.3,62.5,62.1
2025-03-10,62.5,2529500,63.0,63.0,62.5
2025-03-07,62.7,2655600,62.9,63.0,62.4
2025-03-06,62.9,3125600,62.7,62.9,62.2
2025-03-05,62.7,2275500,63.6,63.6,62.7
2025-03-04,63.5,6042000,63.2,63.8,62.9
2025-03-03,63.2,3610600,62.8,63.2,62.3
2025-02-28,62.2,4175600,62.3,63.2,62.2
2025-02-27,62.2,3520600,63.2,63.2,62.2
2025-02-26,63.1,3636600,63.0,63.4,62.9
2025-02-25,62.9,3884200,64.0,64.0,62.6
2025-02-24,63.8,11512800,61.6,63.9,61.6
2025-02-21,61.4,4717200,60.8,62.1,60.6
2025-02-20,60.7,2627900,60.9,60.9,60.6
2025-02-19,60.8,3072700,60.3,60.9,60.3
2025-02-18,60.3,2436800,60.4,60.5,60.0
2025-02-17,60.0,3612400,60.4,60.6,60.0
2025-02-14,60.3,6401800,60.7,60.7,60.3
2025-02-13,60.7,2576800,61.0,61.0,60.4
2025-02-12,61.0,2756600,60.6,61.0,60.5
2025-02-11,60.4,3433800,60.6,60.7,60.1
2025-02-10,60.6,2592100,61.2,61.2,60.6
2025-02-07,60.8,2552300,60.7,61.2,60.6
2025-02-06,60.7,3024800,61.5,61.6,60.5
2025-02-05,61.5,3198100,60.4,61.5,60.4
2025-02-04,60.2,7125000,60.6,60.9,60.0
2025-01-24,62.2,1576400,61.9,62.5,61.8
2025-01-23,62.0,1781300,61.6,62.3,61.6
2025-01-22,61.6,1760900,62.0,62.0,61.6
2025-01-21,61.8,1403900,62.0,62.1,61.6
2025-01-20,61.9,1633600,62.0,62.2,61.6
2025-01-17,62.0,889400,62.2,62.2,62.0
2025-01-16,61.9,1684500,62.3,62.6,61.7
2025-01-15,61.7,1216400,62.1,62.3,61.7
2025-01-14,61.6,1147600,61.4,61.8,61.3
2025-01-13,61.4,1101700,61.2,61.9,61.1
2025-01-10,61.3,1189800,61.7,61.9,61.3
2025-01-09,61.8,1500000,61.8,61.9,61.3
2025-01-08,61.7,2053300,62.0,62.1,61.2
2025-01-07,61.7,2802100,62.6,63.0,61.6
2025-01-06,62.5,2103500,63.0,63.2,62.5
2025-01-03,63.0,1776700,63.2,63.3,62.9
2025-01-02,63.1,1336600,63.6,63.8,63.1
2024-12-31,63.4,1641900,63.4,63.8,63.3
2024-12-30,63.3,1490800,63.6,63.7,63.3
2024-12-27,63.8,2443700,63.9,64.1,63.7
2024-12-26,63.8,1708800,64.2,64.2,63.8
2024-12-25,63.8977,1302500,63.8977,64.39380015527951,63.8977
2024-12-24,63.7985,1287000,63.8977200622084,64.19538024883359,63.6000598755832
2024-12-23,63.8977,1347800,64.19536009316771,64.4930201863354,63.79847996894409
2024-12-20,64.493,3799600,63.5008,64.493,63.5008
2024-12-19,63.4016,2626900,63.89770015649453,63.99692018779343,63.4016
