date,close,volume,open,high,low
2025-04-29,23.65,19406900,22.9,23.95,22.2
2025-04-28,23.1,14336300,22.8,23.5,22.55
2025-04-25,22.8,18916200,22.8,22.85,22.3
2025-04-24,22.8,16543000,22.0,23.1,21.8
2025-04-23,21.95,26859000,20.95,22.0,20.7
2025-04-22,20.6,19583700,20.35,20.6,19.3
2025-04-21,20.4,13359200,20.05,20.65,20.05
2025-04-18,20.4,18997200,20.45,21.0,19.55
2025-04-17,20.4,9657700,20.25,20.6,20.1
2025-04-16,20.4,19670700,20.2,21.1,20.15
2025-04-15,20.3,19239000,20.3,20.7,19.95
2025-04-14,20.3,18452000,19.5,20.35,19.25
2025-04-11,19.4,16425100,19.1,19.6,18.85
2025-04-10,19.25,1890900,19.25,19.25,19.25
2025-04-09,18.0,24614200,16.5,18.35,16.5
2025-04-08,17.5,20763200,18.0,18.15,17.5
2025-04-04,18.8,27118700,17.45,18.8,17.45
2025-04-03,18.75,18588500,19.3,19.6,18.75
2025-04-02,20.15,22985300,20.2,20.55,19.9
2025-04-01,20.0,16455600,19.35,20.1,19.25
2025-03-31,19.15,11536000,19.3,19.45,19.05
2025-03-28,19.5,9353000,19.6,19.65,19.35
2025-03-27,19.65,9652800,19.95,20.05,19.6
2025-03-26,19.95,22377500,19.95,20.15,19.75
2025-03-25,19.8,30908400,19.2,20.3,19.1
2025-03-24,19.15,19774400,18.45,19.2,18.4
2025-03-21,18.45,9853900,18.4,18.5,18.15
2025-03-20,18.4,3614700,18.5,18.75,18.3
2025-03-19,18.45,11508000,18.35,18.5,18.1
2025-03-18,18.45,12489700,18.7,18.8,18.4
2025-03-17,18.7,9392000,18.65,18.8,18.6
2025-03-14,18.75,11422100,18.9,19.1,18.7
2025-03-13,18.8,29808500,18.3,19.2,18.25
2025-03-12,18.3,11789600,18.2,18.45,18.15
2025-03-11,18.2,8111000,17.9,18.25,17.7
2025-03-10,18.25,8696300,18.35,18.45,18.2
2025-03-07,18.2,16865500,17.85,18.5,17.8
2025-03-06,17.85,7172100,17.75,17.95,17.65
2025-03-05,17.75,12706900,17.7,18.05,17.6
2025-03-04,17.7,11254500,17.6,17.8,17.55
2025-03-03,17.7,12108200,17.35,17.95,17.35
2025-02-28,17.4,11416300,17.25,17.65,17.2
2025-02-27,17.2,8005700,17.15,17.2,16.9
2025-02-26,17.15,5280100,17.25,17.35,17.0
2025-02-25,17.25,5837200,17.4,17.5,17.25
2025-02-24,17.35,7296500,17.2,17.35,17.1
2025-02-21,17.25,8867700,17.35,17.4,17.1
2025-02-20,17.35,10812700,17.25,17.45,17.25
2025-02-19,17.2,11283100,16.9,17.3,16.8
2025-02-18,16.85,10881800,16.5,17.05,16.45
2025-02-17,16.45,6732800,16.6,16.7,16.4
2025-02-14,16.6,5337400,16.7,16.8,16.55
2025-02-13,16.65,4323500,16.4,16.7,16.4
2025-02-12,16.4,2712700,16.55,16.6,16.4
2025-02-11,16.4,6501700,16.6,16.6,16.3
2025-02-10,16.6,5381200,16.7,16.75,16.55
2025-02-07,16.85,6185200,16.65,16.9,16.6
2025-02-06,16.7,3805000,16.9,16.9,16.7
2025-02-05,16.85,13551200,16.35,17.1,16.35
2025-02-04,16.3,4430300,16.3,16.4,16.2
2025-01-24,16.55,5325000,16.45,16.65,16.3
2025-01-23,16.45,4626700,16.2,16.5,16.2
2025-01-22,16.3,3206000,16.6,16.6,16.3
2025-01-21,16.6,3529400,16.75,16.75,16.5
2025-01-20,16.6,6900600,16.5,16.85,16.5
2025-01-17,16.55,4432800,16.5,16.6,16.45
2025-01-16,16.55,6720300,16.35,16.7,16.35
2025-01-15,16.5,8227500,16.2,16.5,16.1
2025-01-14,16.1,6583700,16.65,16.65,16.1
2025-01-13,16.7,4774200,16.8,16.85,16.5
2025-01-10,16.85,8897000,17.0,17.05,16.65
2025-01-09,17.0,3344000,16.9,17.15,16.8
2025-01-08,16.95,3265700,16.9,16.95,16.8
2025-01-07,16.95,7224500,17.05,17.15,16.8
2025-01-06,17.15,4480900,17.2,17.25,17.0
2025-01-03,17.2,2701100,17.35,17.45,17.15
2025-01-02,17.3,6915200,17.2,17.45,17.2
2024-12-31,17.15,4645500,17.05,17.3,17.05
2024-12-30,17.15,5681900,17.05,17.15,17.0
2024-12-27,17.15,5865200,17.2,17.25,17.0
2024-12-26,17.15,3726700,17.35,17.45,17.15
